,actuaries,bioinformatics technicians,biostatisticians,blockchain engineers,business intelligence analysts,clinical data managers,computer and information research scientists,computer network architects,computer network support specialists,computer programmers,computer systems analysts,computer systems engineers/architects,computer user support specialists,data scientists,data warehousing specialists,database administrators,database architects,digital forensics analysts,document management specialists,geographic information systems technologists and technicians,health informatics specialists,information security analysts,information security engineers,information technology project managers,mathematicians,network and computer systems administrators,operations research analysts,penetration testers,software developers,software quality assurance analysts and testers,statisticians,telecommunications engineering specialists,video game designers,web administrators,web and digital interface designers,web developers
actuaries,0.0,0.5769230769230769,0.6086956521739131,1.0,0.7254901960784313,0.5238095238095238,0.7027027027027027,0.78125,0.7674418604651163,0.7307692307692307,0.7878787878787878,0.7846153846153846,0.8,0.7254901960784313,0.6744186046511628,0.7741935483870968,0.7758620689655172,1.0,0.7297297297297297,0.5517241379310345,0.5,0.75,1.0,0.7627118644067796,0.56,0.8,0.6285714285714286,1.0,0.7586206896551724,0.7846153846153846,0.5,0.6666666666666666,0.5416666666666666,0.6578947368421053,0.72,0.7254901960784313
bioinformatics technicians,0.5769230769230769,0.0,0.375,1.0,0.6153846153846154,0.48,0.5897435897435898,0.671875,0.5714285714285714,0.6481481481481481,0.6818181818181818,0.65625,0.6811594202898551,0.6153846153846154,0.5777777777777777,0.6825396825396826,0.6551724137931034,1.0,0.5789473684210527,0.41935483870967744,0.4074074074074074,0.625,1.0,0.6440677966101694,0.4074074074074074,0.6923076923076923,0.5135135135135135,1.0,0.6610169491525424,0.65625,0.52,0.5757575757575758,0.4444444444444444,0.5853658536585366,0.660377358490566,0.6415094339622641
biostatisticians,0.6086956521739131,0.375,0.0,1.0,0.66,0.42857142857142855,0.5714285714285714,0.7692307692307693,0.6904761904761905,0.6666666666666666,0.7384615384615385,0.734375,0.7714285714285715,0.66,0.627906976744186,0.7213114754098361,0.6964285714285714,1.0,0.5588235294117647,0.5333333333333333,0.5384615384615384,0.7142857142857143,1.0,0.7068965517241379,0.48,0.7692307692307693,0.6486486486486487,1.0,0.7241379310344828,0.734375,0.3157894736842105,0.7272727272727273,0.4583333333333333,0.675,0.68,0.66
blockchain engineers,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
business intelligence analysts,0.7254901960784313,0.6153846153846154,0.66,1.0,0.0,0.7058823529411765,0.4339622641509434,0.4520547945205479,0.5333333333333333,0.19642857142857142,0.25757575757575757,0.24615384615384617,0.323943661971831,0.0,0.2641509433962264,0.23809523809523808,0.2903225806451613,1.0,0.48148148148148145,0.5192307692307693,0.660377358490566,0.359375,1.0,0.2,0.6346153846153846,0.3382352941176471,0.34,1.0,0.30158730158730157,0.24615384615384617,0.7,0.6607142857142857,0.6538461538461539,0.49122807017543857,0.29310344827586204,0.24561403508771928
clinical data managers,0.5238095238095238,0.48,0.42857142857142855,1.0,0.7058823529411765,0.0,0.7105263157894737,0.7846153846153846,0.7142857142857143,0.7115384615384616,0.7727272727272727,0.7692307692307693,0.7857142857142857,0.7058823529411765,0.7111111111111111,0.7580645161290323,0.7368421052631579,1.0,0.6666666666666666,0.5666666666666667,0.52,0.7321428571428571,1.0,0.7457627118644068,0.5769230769230769,0.7846153846153846,0.6,1.0,0.7627118644067796,0.7692307692307693,0.5238095238095238,0.6774193548387096,0.5,0.7,0.75,0.7307692307692307
computer and information research scientists,0.7027027027027027,0.5897435897435898,0.5714285714285714,1.0,0.4339622641509434,0.7105263157894737,0.0,0.6086956521739131,0.6851851851851852,0.4444444444444444,0.5151515151515151,0.5303030303030303,0.5833333333333334,0.4339622641509434,0.4375,0.5079365079365079,0.5166666666666667,1.0,0.5227272727272727,0.46153846153846156,0.6829268292682927,0.6031746031746031,1.0,0.48333333333333334,0.6829268292682927,0.5454545454545454,0.5652173913043478,1.0,0.5483870967741935,0.5522388059701493,0.5882352941176471,0.7111111111111111,0.5277777777777778,0.5918367346938775,0.4528301886792453,0.4339622641509434
computer network architects,0.78125,0.671875,0.7692307692307693,1.0,0.4520547945205479,0.7846153846153846,0.6086956521739131,0.0,0.4696969696969697,0.39436619718309857,0.3157894736842105,0.2602739726027397,0.3076923076923077,0.4520547945205479,0.4782608695652174,0.3684210526315789,0.41333333333333333,1.0,0.6619718309859155,0.6363636363636364,0.7272727272727273,0.3142857142857143,1.0,0.38666666666666666,0.7076923076923077,0.25,0.5671641791044776,1.0,0.3783783783783784,0.32894736842105265,0.78125,0.625,0.7230769230769231,0.5652173913043478,0.4225352112676056,0.4084507042253521
computer network support specialists,0.7674418604651163,0.5714285714285714,0.6904761904761905,1.0,0.5333333333333333,0.7142857142857143,0.6851851851851852,0.4696969696969697,0.0,0.5166666666666667,0.4852941176470588,0.5,0.49295774647887325,0.5333333333333333,0.5454545454545454,0.5223880597014925,0.45901639344262296,1.0,0.6538461538461539,0.6458333333333334,0.717391304347826,0.423728813559322,1.0,0.5454545454545454,0.5952380952380952,0.4461538461538462,0.5208333333333334,1.0,0.46774193548387094,0.5,0.7380952380952381,0.5,0.6511627906976745,0.5769230769230769,0.55,0.5573770491803278
computer programmers,0.7307692307692307,0.6481481481481481,0.6666666666666666,1.0,0.19642857142857142,0.7115384615384616,0.4444444444444444,0.39436619718309857,0.5166666666666667,0.0,0.24242424242424243,0.25757575757575757,0.3333333333333333,0.19642857142857142,0.2777777777777778,0.2222222222222222,0.27419354838709675,1.0,0.5689655172413793,0.5555555555555556,0.6909090909090909,0.31746031746031744,1.0,0.2698412698412698,0.6666666666666666,0.2727272727272727,0.4727272727272727,1.0,0.3125,0.23076923076923078,0.7058823529411765,0.6428571428571429,0.660377358490566,0.5254237288135594,0.3050847457627119,0.25862068965517243
