skills,actuaries,bioinformatics technicians,biostatisticians,blockchain engineers,business intelligence analysts,clinical data managers,computer and information research scientists,computer network architects,computer network support specialists,computer programmers,computer systems analysts,computer systems engineers/architects,computer user support specialists,data scientists,data warehousing specialists,database administrators,database architects,digital forensics analysts,document management specialists,geographic information systems technologists and technicians,health informatics specialists,information security analysts,information security engineers,information technology project managers,mathematicians,network and computer systems administrators,operations research analysts,penetration testers,software developers,software quality assurance analysts and testers,statisticians,telecommunications engineering specialists,video game designers,web administrators,web and digital interface designers,web developers
analytical or scientific software,1,1,1,,1,1,1,1,0,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,0,1,1,1,1
business intelligence and data analysis software,1,0,0,,1,0,1,1,0,1,1,1,1,1,1,1,1,,0,1,1,1,,1,1,1,1,,1,1,1,0,0,1,1,1
compliance software,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0
data base user interface and query software,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1
development environment software,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1
electronic mail software,1,1,0,,1,0,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,0,1,1,1,1,1
financial analysis software,1,0,0,,1,0,0,1,0,1,1,1,1,1,1,1,0,,0,0,0,1,,1,0,1,1,,1,1,0,0,0,0,1,1
graphics or photo imaging software,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,0,1,1,1,1,1
object or component oriented development software,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1
object oriented data base management software,1,0,0,,1,0,1,1,0,1,1,1,1,1,1,1,1,,0,1,0,1,,1,0,1,0,,1,1,1,0,0,1,1,1
